order_id,restaurant_id,food_item,order_time,delivery_time,delivery_distance,order_value,delivery_method,traffic_condition,weather_condition,delivery_delay,route_taken,customer_id,age,gender,location,order_history,customer_rating,preferred_cuisine,order_frequency,loyalty_program,food_temperature,food_freshness,packaging_quality,food_condition,customer_satisfaction,small_route,bike_friendly_route,route_type,route_efficiency,traffic_avoidance
ORD000018,42,Pasta,2024-11-02,2024-11-02,3.31,46.15,Car,Low,Snowy,0.6,Route_4,CUST000018,20,Female,Jaipur,48,2,Mexican,Weekly,Yes,Warm,5,2,Fair,3,False,True,Mixed,0.9492445402045536,Yes
ORD000019,72,Chicken pie,2024-10-17,2024-10-17,7.3,21.11,Walk,Low,Sunny,13.22,Route_5,CUST000019,37,Other,Chennai,39,5,Italian,Monthly,Yes,Warm,1,3,Poor,1,True,True,Car-only,0.0521230844535998,No
ORD000020,36,Chicken rice,2024-02-12,2024-02-12,11.93,39.61,Car,Medium,Snowy,8.84,Route_4,CUST000020,38,Other,Ahmedabad,45,5,Mexican,Monthly,Yes,Hot,2,3,Fair,1,False,True,Car-only,0.8428015267504667,Yes
ORD000021,5,Salad,2024-07-28,2024-07-28,7.48,26.81,Bike,Medium,Sunny,2.09,Route_1,CUST000021,18,Other,Mumbai,39,5,American,Monthly,Yes,Warm,1,4,Good,3,False,False,Bike-friendly,0.8861637233420075,Yes
ORD000022,97,Burritos,2024-03-26,2024-03-26,13.52,46.08,Walk,Low,Sunny,-1.81,Route_4,CUST000022,58,Male,Hyderabad,14,2,Mediterranean,Weekly,Yes,Cold,3,2,Fair,5,False,True,Car-only,0.0924554557021559,No
ORD000023,26,Taccos,2024-01-28,2024-01-28,11.97,27.55,Car,Low,Sunny,16.39,Route_5,CUST000023,23,Female,Lucknow,28,3,Asian,Weekly,Yes,Hot,1,4,Fair,3,False,False,Mixed,0.2029310526576933,No
ORD000024,83,CoffeeBoba tea,2024-03-27,2024-03-27,9.62,29.43,Bike,Low,Sunny,-4.52,Route_2,CUST000024,53,Male,Jaipur,27,4,Mexican,Monthly,Yes,Hot,2,2,Fair,4,False,False,Bike-friendly,0.3087072111605922,No
ORD000025,15,Pasta,2024-03-23,2024-03-23,13.48,47.46,Car,Medium,Snowy,7.27,Route_5,CUST000025,57,Female,Delhi,19,2,Mexican,Monthly,No,Hot,5,3,Good,1,False,True,Bike-friendly,0.2707574605486142,No
ORD000026,95,Salad,2024-06-21,2024-06-21,10.18,43.76,Walk,High,Rainy,5.19,Route_5,CUST000026,56,Female,Hyderabad,31,4,Mediterranean,Weekly,Yes,Hot,3,3,Poor,1,True,True,Mixed,0.6638666744504372,No
ORD000027,32,Chicken rice,2024-12-09,2024-12-09,5.21,36.17,Car,High,Rainy,11.5,Route_3,CUST000027,39,Other,Bangalore,3,1,Asian,Weekly,Yes,Warm,1,2,Fair,4,True,True,Bike-friendly,0.5780885404782308,No
ORD000028,72,Dumplings,2024-07-17,2024-07-17,12.23,14.45,Walk,Low,Snowy,15.33,Route_5,CUST000028,41,Female,Mumbai,49,2,Italian,Monthly,No,Hot,3,4,Poor,2,True,False,Mixed,0.6480145938225698,No
ORD000029,62,Salad,2024-03-17,2024-03-17,7.47,35.34,Car,High,Snowy,-0.87,Route_4,CUST000029,25,Other,Lucknow,19,1,American,Monthly,Yes,Hot,2,1,Good,5,True,False,Car-only,0.7995903447523032,No
ORD000030,56,Briyani rice,2024-07-27,2024-07-27,6.25,13.32,Walk,High,Snowy,15.13,Route_1,CUST000030,58,Female,Kolkata,2,2,Asian,Weekly,Yes,Hot,3,2,Good,1,True,False,Mixed,0.7835723329455896,No
ORD000031,40,Briyani rice,2024-02-12,2024-02-12,8.56,24.65,Walk,Low,Rainy,9.72,Route_3,CUST000031,37,Other,Jaipur,25,1,American,Monthly,Yes,Cold,4,5,Good,5,True,False,Car-only,0.639062238976435,No
ORD000032,1,Whole cake,2024-07-19,2024-07-19,4.73,44.68,Walk,High,Rainy,16.14,Route_1,CUST000032,46,Other,Lucknow,45,2,Mediterranean,Weekly,No,Cold,3,4,Poor,3,False,True,Mixed,0.6329696568566263,No
ORD000033,69,Pasta,2024-10-17,2024-10-17,3.53,36.31,Car,Low,Rainy,3.67,Route_3,CUST000033,49,Male,Jaipur,2,1,Asian,Monthly,Yes,Hot,5,2,Fair,4,False,True,Bike-friendly,0.7017454123275011,No
ORD000034,46,Chicken rice,2024-03-10,2024-03-10,8.65,9.43,Car,Medium,Rainy,12.13,Route_2,CUST000034,24,Other,Ahmedabad,13,1,Asian,Weekly,Yes,Hot,3,2,Good,1,False,True,Car-only,0.2562798433412668,No
ORD000035,51,Chicken wings,2024-10-21,2024-10-21,14.2,18.91,Walk,High,Sunny,8.64,Route_2,CUST000035,33,Female,Mumbai,42,3,Asian,Monthly,No,Hot,5,3,Fair,4,False,True,Car-only,0.6401465173493266,No
ORD000036,42,Salad,2024-01-13,2024-01-13,5.93,39.9,Bike,High,Rainy,12.89,Route_4,CUST000036,22,Male,Kolkata,48,2,Mexican,Monthly,No,Hot,3,2,Poor,1,False,True,Car-only,0.965970439997768,Yes
ORD000037,48,Pizza,2024-06-22,2024-06-22,14.11,40.09,Car,Medium,Sunny,2.07,Route_2,CUST000037,31,Other,Pune,38,5,Asian,Weekly,Yes,Warm,3,5,Poor,2,True,False,Car-only,0.3971330657275013,No
ORD000038,12,Salad,2024-02-24,2024-02-24,7.27,9.71,Bike,Low,Sunny,15.09,Route_2,CUST000038,33,Other,Kolkata,25,5,Asian,Weekly,Yes,Cold,2,1,Fair,1,False,True,Car-only,0.8473256429052958,Yes
ORD000039,87,Pasta,2024-03-01,2024-03-01,10.87,22.58,Car,Medium,Snowy,14.37,Route_4,CUST000039,21,Female,Ahmedabad,31,1,American,Monthly,Yes,Hot,3,1,Poor,4,False,False,Car-only,0.2485445539968851,No
ORD000040,91,Cup cake,2024-07-01,2024-07-01,8.48,34.62,Bike,High,Sunny,5.04,Route_3,CUST000040,46,Other,Chennai,45,4,Asian,Weekly,No,Hot,5,1,Poor,3,True,False,Mixed,0.7056247813534949,No
ORD000041,65,PastrySmoothie,2024-08-27,2024-08-27,13.13,31.61,Bike,High,Rainy,1.39,Route_1,CUST000041,53,Male,Lucknow,27,4,American,Monthly,No,Cold,5,5,Fair,3,True,True,Bike-friendly,0.9694889067427752,Yes
ORD000042,45,Whole cake,2024-09-10,2024-09-10,12.61,8.51,Bike,Medium,Rainy,-1.95,Route_3,CUST000042,36,Male,Chennai,43,5,American,Weekly,Yes,Warm,3,3,Poor,3,True,False,Bike-friendly,0.9210558860734182,Yes
ORD000043,44,Dumplings,2024-03-18,2024-03-18,12.34,25.0,Bike,High,Snowy,6.26,Route_4,CUST000043,47,Other,Jaipur,45,3,Italian,Monthly,Yes,Cold,5,1,Fair,3,False,False,Bike-friendly,0.6885922598202477,No
ORD000044,3,Burritos,2024-03-08,2024-03-08,7.33,22.31,Walk,High,Rainy,14.21,Route_1,CUST000044,29,Male,Delhi,27,4,Mediterranean,Monthly,Yes,Hot,2,3,Good,4,True,True,Mixed,0.1519353896992114,No
ORD000045,72,Shawarma,2024-02-13,2024-02-13,5.79,40.82,Car,Low,Snowy,-3.27,Route_5,CUST000045,35,Male,Mumbai,50,5,Mexican,Weekly,Yes,Cold,2,3,Poor,5,True,False,Mixed,0.5005835028134139,No
ORD000046,23,CoffeeBoba tea,2024-03-18,2024-03-18,8.36,43.4,Bike,Low,Rainy,-3.75,Route_1,CUST000046,55,Female,Chennai,5,5,Mexican,Monthly,Yes,Warm,4,1,Poor,1,False,True,Car-only,0.5197380495269783,No
ORD000047,8,Soup,2024-08-29,2024-08-29,2.24,24.48,Walk,Low,Rainy,0.72,Route_3,CUST000047,41,Female,Ahmedabad,24,1,Mediterranean,Weekly,Yes,Cold,1,1,Poor,2,False,True,Mixed,0.8955420976497195,Yes
ORD000048,25,Shawarma,2024-08-21,2024-08-21,8.31,25.13,Walk,High,Rainy,13.65,Route_2,CUST000048,34,Other,Delhi,3,3,Italian,Monthly,No,Warm,4,2,Good,4,True,False,Mixed,0.8843519934187871,Yes
ORD000049,65,Pizza,2024-02-26,2024-02-26,7.7,10.8,Bike,Medium,Snowy,6.19,Route_5,CUST000049,57,Other,Ahmedabad,7,3,Asian,Monthly,No,Warm,4,2,Good,4,False,False,Car-only,0.2268957795659154,No
ORD000050,77,Cookie,2024-10-27,2024-10-27,3.62,38.18,Car,Medium,Snowy,1.36,Route_1,CUST000050,47,Other,Pune,24,2,Mexican,Monthly,Yes,Hot,1,5,Good,3,False,True,Mixed,0.6126519004477465,No
ORD000051,41,PastrySmoothie,2024-08-20,2024-08-20,10.16,40.61,Bike,Low,Snowy,-9.22,Route_4,CUST000051,56,Male,Pune,25,2,Mexican,Monthly,Yes,Hot,2,5,Poor,2,False,True,Car-only,0.2274142692654457,No
ORD000052,93,Burritos,2024-09-22,2024-09-22,7.37,31.47,Walk,Low,Sunny,15.48,Route_2,CUST000052,32,Male,Hyderabad,46,4,Asian,Weekly,No,Warm,1,1,Fair,2,False,True,Bike-friendly,0.9993238055908652,Yes
ORD000053,47,Salad,2024-12-06,2024-12-06,3.05,16.86,Bike,High,Rainy,3.96,Route_3,CUST000053,29,Other,Jaipur,50,5,Mediterranean,Weekly,Yes,Warm,1,2,Poor,2,True,True,Car-only,0.2994401728249205,No
ORD000054,6,Cookie,2024-07-30,2024-07-30,12.34,6.17,Bike,Low,Sunny,-0.68,Route_1,CUST000054,21,Male,Pune,41,3,Italian,Weekly,Yes,Cold,3,5,Poor,1,False,True,Bike-friendly,0.553339658157888,No
ORD000055,94,Taccos,2024-08-22,2024-08-22,9.14,15.22,Walk,Low,Rainy,5.46,Route_1,CUST000055,36,Other,Bangalore,32,3,Mexican,Weekly,No,Hot,5,1,Fair,3,True,True,Bike-friendly,0.6687894890967164,No
ORD000056,9,Chicken pie,2024-10-05,2024-10-05,4.84,38.07,Walk,High,Rainy,14.93,Route_4,CUST000056,40,Other,Delhi,15,4,Asian,Monthly,No,Hot,3,3,Good,5,False,True,Car-only,0.5304568417296222,No
ORD000057,63,Pizza,2024-11-30,2024-11-30,11.42,14.01,Bike,High,Rainy,-3.27,Route_5,CUST000057,36,Female,Kolkata,29,1,Italian,Monthly,Yes,Cold,1,5,Poor,5,True,True,Bike-friendly,0.7791876009407976,No
ORD000058,100,Soup,2024-08-29,2024-08-29,11.44,43.75,Bike,Medium,Rainy,12.12,Route_4,CUST000058,55,Other,Lucknow,9,1,Mexican,Monthly,Yes,Warm,5,5,Fair,3,True,True,Bike-friendly,0.9133455496296496,Yes
ORD000059,4,Cup cake,2024-04-15,2024-04-15,9.62,11.27,Walk,Low,Sunny,-3.31,Route_5,CUST000059,60,Other,Ahmedabad,40,2,Italian,Weekly,Yes,Warm,3,3,Good,5,False,False,Car-only,0.5182639640117941,No
ORD000060,13,Whole cake,2024-02-15,2024-02-15,8.55,43.48,Car,Low,Rainy,-1.2,Route_5,CUST000060,60,Male,Mumbai,35,3,Asian,Weekly,No,Warm,5,1,Fair,3,True,False,Car-only,0.6382320603457028,No
ORD000061,21,Taccos,2024-06-22,2024-06-22,2.15,16.81,Bike,Low,Rainy,19.38,Route_1,CUST000061,34,Male,Lucknow,3,3,American,Monthly,Yes,Hot,2,4,Poor,2,False,False,Mixed,0.9134191288657226,Yes
ORD000062,81,Taccos,2024-04-07,2024-04-07,2.1,12.8,Walk,Medium,Sunny,11.74,Route_2,CUST000062,23,Male,Ahmedabad,17,2,Mediterranean,Monthly,No,Cold,4,2,Good,2,True,True,Mixed,0.6968016411011041,No
ORD000063,53,Burger,2024-06-20,2024-06-20,12.67,41.17,Car,Low,Snowy,10.74,Route_2,CUST000063,53,Other,Chennai,46,3,Italian,Monthly,Yes,Cold,4,1,Poor,1,True,True,Car-only,0.1419162739935987,No
ORD000064,20,Cup cake,2024-01-26,2024-01-26,6.9,47.64,Walk,Low,Sunny,0.49,Route_3,CUST000064,49,Female,Bangalore,28,2,Italian,Weekly,Yes,Hot,1,1,Poor,4,False,True,Car-only,0.3473458743842902,No
ORD000065,11,Briyani rice,2024-01-25,2024-01-25,8.1,7.31,Car,Medium,Rainy,-6.29,Route_3,CUST000065,29,Other,Jaipur,5,5,Asian,Weekly,No,Cold,1,4,Good,5,False,False,Mixed,0.7948983727881034,No
ORD000066,20,Chicken wings,2024-01-03,2024-01-03,11.09,31.52,Bike,Medium,Rainy,-8.88,Route_3,CUST000066,43,Female,Kolkata,8,4,American,Weekly,Yes,Hot,2,4,Fair,3,True,False,Mixed,0.0881226890049141,No
ORD000067,20,Pasta,2024-05-26,2024-05-26,15.0,28.89,Car,High,Snowy,-1.25,Route_4,CUST000067,28,Female,Mumbai,20,4,Asian,Weekly,Yes,Cold,2,1,Fair,1,False,False,Car-only,0.5578109308148719,No
ORD000068,9,Burritos,2024-08-28,2024-08-28,9.88,18.72,Walk,High,Snowy,11.27,Route_4,CUST000068,39,Male,Mumbai,8,1,Asian,Weekly,No,Cold,3,1,Good,4,True,True,Bike-friendly,0.7852162365245751,No
ORD000069,69,Cup cake,2024-04-04,2024-04-04,12.64,33.61,Bike,Low,Snowy,-5.25,Route_5,CUST000069,18,Other,Bangalore,24,4,Asian,Monthly,No,Hot,3,3,Good,3,True,False,Mixed,0.8072004519098754,Yes
ORD000070,16,Cookie,2024-04-26,2024-04-26,10.04,47.82,Walk,High,Sunny,9.13,Route_2,CUST000070,52,Other,Pune,35,1,Mediterranean,Monthly,No,Hot,5,5,Poor,2,False,False,Mixed,0.6640574801838941,No
ORD000071,59,Cup cake,2024-03-25,2024-03-25,14.87,6.47,Car,Low,Snowy,2.26,Route_5,CUST000071,42,Male,Ahmedabad,27,5,American,Monthly,No,Cold,4,1,Poor,2,False,False,Mixed,0.6643104695967436,No
ORD000072,18,Beef pie,2024-04-01,2024-04-01,4.27,24.16,Car,High,Rainy,6.34,Route_3,CUST000072,44,Female,Pune,27,2,Mexican,Weekly,Yes,Hot,3,1,Poor,3,True,True,Bike-friendly,0.8536756837355326,Yes
ORD000073,44,Chicken pie,2024-12-12,2024-12-12,8.34,15.17,Bike,High,Sunny,-8.18,Route_3,CUST000073,50,Female,Jaipur,24,5,Mexican,Weekly,No,Hot,4,2,Fair,2,True,True,Mixed,0.0960136852229959,No
ORD000074,2,Cup cake,2024-04-14,2024-04-14,11.13,43.47,Bike,Low,Sunny,-6.52,Route_5,CUST000074,28,Other,Pune,23,4,Mediterranean,Weekly,Yes,Hot,2,3,Fair,1,False,True,Bike-friendly,0.0268894111736504,No
ORD000075,36,Cup cake,2024-09-29,2024-09-29,10.76,13.14,Car,Medium,Snowy,-1.76,Route_1,CUST000075,23,Other,Pune,28,3,Asian,Weekly,No,Warm,4,5,Poor,3,False,False,Bike-friendly,0.7182756951597435,No
ORD000076,18,Chicken pie,2024-06-09,2024-06-09,3.81,13.17,Walk,Medium,Sunny,-7.02,Route_3,CUST000076,30,Other,Mumbai,19,5,American,Weekly,Yes,Warm,5,3,Good,4,True,False,Mixed,0.7232475809776845,No
ORD000077,41,Burritos,2024-11-12,2024-11-12,14.71,36.55,Walk,Low,Snowy,11.51,Route_4,CUST000077,55,Other,Kolkata,10,2,Italian,Weekly,No,Warm,5,4,Poor,4,False,True,Bike-friendly,0.6969601925593256,No
ORD000078,96,Briyani rice,2024-03-31,2024-03-31,3.08,15.62,Car,High,Snowy,10.49,Route_2,CUST000078,31,Other,Mumbai,43,4,Mediterranean,Weekly,No,Warm,3,1,Poor,2,True,True,Mixed,0.9067220969436972,Yes
ORD000079,39,Sushi,2024-11-10,2024-11-10,13.2,42.18,Walk,High,Sunny,-0.74,Route_3,CUST000079,47,Female,Delhi,43,3,Asian,Weekly,Yes,Warm,4,3,Fair,1,False,True,Car-only,0.6549367912806132,No
ORD000080,86,Beef pie,2024-02-09,2024-02-09,7.71,24.34,Car,Low,Sunny,16.58,Route_2,CUST000080,52,Other,Hyderabad,37,2,Asian,Monthly,Yes,Hot,4,1,Good,2,False,True,Car-only,0.4597824718981381,No
ORD000081,35,Pasta,2024-07-02,2024-07-02,11.25,40.28,Walk,Medium,Sunny,-2.4,Route_1,CUST000081,58,Male,Delhi,6,4,American,Weekly,Yes,Warm,2,3,Poor,1,True,True,Mixed,0.011183575649414,No
ORD000082,3,Chicken wings,2024-11-06,2024-11-06,12.17,22.16,Car,High,Rainy,-3.55,Route_2,CUST000082,21,Other,Ahmedabad,12,3,Asian,Weekly,No,Cold,5,4,Good,5,False,False,Bike-friendly,0.9928521775087435,Yes
ORD000083,92,Cookie,2024-11-10,2024-11-10,10.09,5.2,Bike,Low,Rainy,14.44,Route_3,CUST000083,24,Male,Kolkata,29,3,Mediterranean,Weekly,No,Cold,2,4,Fair,2,True,True,Bike-friendly,0.4216803418821493,No
ORD000084,87,Salad,2024-07-24,2024-07-24,8.32,8.87,Bike,Low,Sunny,-2.91,Route_3,CUST000084,36,Female,Delhi,30,1,American,Monthly,No,Cold,2,4,Poor,3,True,True,Bike-friendly,0.305764324998748,No
ORD000085,8,Pizza,2024-09-03,2024-09-03,5.88,42.18,Walk,Medium,Rainy,-4.03,Route_3,CUST000085,58,Other,Pune,46,5,Asian,Weekly,No,Warm,5,4,Good,2,False,False,Mixed,0.1461152549827207,No
ORD000086,48,Chicken wings,2024-02-22,2024-02-22,13.37,15.42,Walk,Low,Snowy,3.99,Route_3,CUST000086,24,Other,Mumbai,39,2,Italian,Monthly,No,Hot,2,3,Good,1,False,False,Mixed,0.3769998812043748,No
ORD000087,75,Briyani rice,2024-07-28,2024-07-28,11.99,13.02,Car,Low,Snowy,6.98,Route_2,CUST000087,23,Female,Ahmedabad,42,3,American,Monthly,No,Hot,4,1,Poor,2,True,False,Bike-friendly,0.6454684696054085,No
ORD000088,24,Dumplings,2024-08-05,2024-08-05,13.3,21.63,Car,Low,Sunny,-0.78,Route_1,CUST000088,55,Other,Kolkata,13,1,Mediterranean,Weekly,No,Cold,5,2,Fair,1,False,False,Car-only,0.2150121296507863,No
ORD000089,65,Chicken rice,2024-11-01,2024-11-01,8.21,12.33,Car,High,Rainy,-3.68,Route_4,CUST000089,35,Other,Chennai,23,3,Asian,Monthly,No,Warm,4,4,Good,1,False,False,Bike-friendly,0.8536809338442077,Yes
ORD000090,10,PastrySmoothie,2024-03-21,2024-03-21,14.7,40.19,Car,Low,Sunny,6.2,Route_1,CUST000090,32,Female,Kolkata,20,4,Italian,Monthly,No,Warm,5,3,Poor,3,False,False,Car-only,0.195133055138163,No
ORD000091,100,Whole cake,2024-10-29,2024-10-29,4.7,40.09,Walk,High,Sunny,12.14,Route_5,CUST000091,52,Male,Chennai,7,4,American,Monthly,No,Hot,3,3,Poor,5,False,True,Car-only,0.823981884529367,Yes
ORD000092,32,PastrySmoothie,2024-07-27,2024-07-27,7.87,40.75,Walk,Low,Snowy,-4.37,Route_2,CUST000092,46,Female,Jaipur,30,2,Asian,Weekly,No,Hot,4,4,Good,5,True,True,Mixed,0.1235745452201522,No
ORD000093,59,Chicken pie,2024-06-03,2024-06-03,11.15,45.21,Car,High,Snowy,17.64,Route_5,CUST000093,48,Male,Bangalore,22,4,Italian,Weekly,Yes,Hot,1,2,Poor,2,False,True,Car-only,0.4970896588633903,No
ORD000094,85,Fried chicken,2024-01-17,2024-01-17,12.03,12.3,Car,Low,Rainy,-2.81,Route_5,CUST000094,21,Other,Ahmedabad,16,3,Mexican,Weekly,No,Warm,5,1,Poor,4,True,False,Bike-friendly,0.3040915317080475,No
ORD000095,34,Briyani rice,2024-06-02,2024-06-02,2.98,8.7,Car,High,Snowy,-2.67,Route_3,CUST000095,59,Other,Mumbai,1,4,Mexican,Monthly,No,Hot,1,5,Fair,4,False,True,Bike-friendly,0.0031030638847566,No
ORD000096,63,Cookie,2024-11-04,2024-11-04,13.4,25.7,Bike,High,Rainy,3.23,Route_5,CUST000096,23,Female,Kolkata,10,1,Asian,Monthly,Yes,Hot,2,2,Poor,1,False,False,Car-only,0.327402133416569,No
ORD000097,25,Dumplings,2024-07-11,2024-07-11,3.67,5.58,Bike,High,Rainy,8.48,Route_5,CUST000097,26,Male,Delhi,26,4,Mediterranean,Monthly,No,Hot,4,5,Good,2,False,False,Bike-friendly,0.571187664676028,No
ORD000098,19,Shawarma,2024-11-19,2024-11-19,11.29,30.28,Walk,High,Sunny,14.17,Route_3,CUST000098,43,Male,Ahmedabad,10,5,Italian,Monthly,No,Warm,2,2,Fair,1,True,False,Mixed,0.4964071211968346,No
ORD000099,68,Beef pie,2024-05-13,2024-05-13,4.48,5.23,Car,Low,Sunny,5.54,Route_4,CUST000099,34,Other,Ahmedabad,32,3,Asian,Monthly,Yes,Hot,1,4,Good,1,False,False,Mixed,0.0639345111448579,No
ORD000100,55,Sushi,2024-06-06,2024-06-06,9.93,19.23,Bike,High,Rainy,19.64,Route_1,CUST000100,48,Other,Bangalore,38,1,Mediterranean,Monthly,No,Cold,5,2,Fair,5,True,True,Mixed,0.4789615746423094,No
ORD000101,54,Pizza,2024-06-24,2024-06-24,4.24,45.31,Walk,High,Sunny,2.11,Route_5,CUST000101,60,Female,Lucknow,29,2,American,Weekly,Yes,Hot,1,3,Fair,4,False,True,Mixed,0.2411847779749187,No
ORD000102,2,Burritos,2024-12-05,2024-12-05,5.82,36.64,Car,Low,Rainy,-2.4,Route_5,CUST000102,53,Male,Delhi,10,2,Mediterranean,Monthly,Yes,Warm,1,3,Good,4,True,True,Car-only,0.8397322231942554,Yes
ORD000103,10,Chicken rice,2024-06-27,2024-06-27,12.49,26.32,Car,Low,Rainy,8.77,Route_3,CUST000103,20,Other,Ahmedabad,48,3,Mediterranean,Weekly,Yes,Cold,1,3,Fair,2,False,True,Mixed,0.6952173999943464,No
ORD000104,13,Cup cake,2024-01-10,2024-01-10,10.88,20.47,Car,High,Snowy,-0.79,Route_4,CUST000104,59,Other,Delhi,12,2,Asian,Monthly,No,Warm,5,3,Poor,3,True,True,Mixed,0.4980182159468262,No
ORD000105,12,Chicken wings,2024-09-03,2024-09-03,13.2,21.17,Walk,High,Sunny,18.67,Route_5,CUST000105,60,Other,Ahmedabad,21,2,American,Weekly,Yes,Warm,2,4,Good,3,False,False,Car-only,0.659612922729503,No
ORD000106,40,Shawarma,2024-03-26,2024-03-26,9.68,8.52,Bike,Low,Rainy,2.83,Route_1,CUST000106,27,Male,Bangalore,10,5,American,Weekly,Yes,Warm,2,5,Fair,5,True,False,Mixed,0.8088959816427059,Yes
ORD000107,45,Shawarma,2024-04-08,2024-04-08,12.87,15.33,Car,High,Snowy,10.72,Route_5,CUST000107,46,Male,Chennai,3,3,Asian,Weekly,Yes,Warm,2,2,Fair,3,True,False,Car-only,0.9091199956572332,Yes
ORD000108,59,Taccos,2024-08-05,2024-08-05,6.23,36.23,Bike,Low,Rainy,6.04,Route_5,CUST000108,19,Female,Mumbai,18,1,Mexican,Monthly,No,Cold,4,5,Fair,4,False,False,Bike-friendly,0.1223058695603799,No
ORD000109,67,Fried chicken,2024-11-12,2024-11-12,5.05,29.65,Bike,High,Rainy,1.56,Route_3,CUST000109,49,Male,Jaipur,13,2,American,Weekly,Yes,Cold,4,1,Fair,4,True,True,Mixed,0.2379584831107488,No
